
DRAFT (MLD.)	DRAFT (B.O.K)	DIS. (S.W)	DIS. (F.W)	VOL. (MLD)	L.C.F.	L.C.B.	V.C.B.	T.P.C.	M.T.C.	K.M.T	Cb	Cp	Cw	Cm	W.P.A.	W.S.A.
10.850	10.867	50667.1	49431.3	49334.9	-3.960	2.701	5.673	51.5	618.8	13.575	.8300	.8341	.9156	.9951	5016	8138
10.900	10.917	50923.9	49681.9	49585.2	-3.969	2.668	5.697	51.5	619.4	13.563	.8305	.8345	.9159	.9951	5017	8156
10.950	10.967	51180.8	49932.4	49835.6	-3.978	2.635	5.722	51.5	620.1	13.552	.8308	.8348	.9163	.9951	5019	8175
11.000	11.017	51437.6	50183.0	50085.9	-3.987	2.602	5.746	51.5	620.8	13.540	.8311	.8352	.9166	.9951	5021	8193
11.050	11.067	51695.2	50434.3	50337.0	-3.988	2.569	5.772	51.5	621.4	13.530	.8315	.8356	.9169	.9952	5023	8212
11.100	11.117	51953.6	50686.4	50588.1	-3.982	2.537	5.801	51.6	622.0	13.522	.8319	.8359	.9172	.9952	5024	8230
11.150	11.167	52212.0	50938.5	50840.7	-3.975	2.505	5.829	51.6	622.6	13.514	.8323	.8363	.9175	.9952	5026	8248
11.200	11.217	52470.4	51190.6	51092.5	-3.969	2.473	5.856	51.6	623.3	13.507	.8327	.8367	.9178	.9952	5028	8266
11.250	11.267	52728.8	51442.7	51344.4	-3.962	2.442	5.884	51.6	623.9	13.499	.8331	.8371	.9181	.9952	5029	8285
11.300	11.317	52987.2	51694.8	51596.3	-3.956	2.410	5.911	51.6	624.5	13.491	.8335	.8374	.9184	.9953	5031	8303
11.350	11.367	53245.6	51946.9	51848.1	-3.949	2.379	5.938	51.6	625.1	13.484	.8338	.8378	.9187	.9953	5032	8321
11.400	11.417	53504.0	52199.0	52100.0	-3.943	2.349	5.965	51.7	625.7	13.476	.8342	.8382	.9190	.9953	5034	8339
